Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,40 W 56th St,"{'latitude': 40.76292, 'longitude': -73.976546}",798,4.5,10019,chinese
BNaveJmi-OUGKG9sRfrIhA,Mr. Sun,48 W 48th St,"{'latitude': 40.75809, 'longitude': -73.98026}",188,4.5,10036,chinese
HduEOz0RSK91GDr8EoxELw,Shun Lee - 98th ST,2596 Broadway,"{'latitude': 40.79576833206957, 'longitude': -73.97059000000002}",4,5.0,10025,chinese
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,24 W 56th St,"{'latitude': 40.76278, 'longitude': -73.97589}",545,4.0,10019,chinese
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,"{'latitude': 40.76015, 'longitude': -73.9893699}",1632,4.0,10036,chinese
h0pRCiJDrCN7tm3VX5tILQ,CHILI,13 E 37th St,"{'latitude': 40.75002, 'longitude': -73.98215}",581,4.5,10016,chinese
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou,295 Grand St,"{'latitude': 40.7174109, 'longitude': -73.9920876}",1176,4.5,10002,chinese
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,215 W 85th St,"{'latitude': 40.78752, 'longitude': -73.97647}",694,4.0,10024,chinese
UK1oGbr8GU2rufpnJR4-HQ,Joe's Home of Soup Dumplings,7 E 48th St,"{'latitude': 40.75723, 'longitude': -73.97702}",390,4.5,10017,chinese
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,46 Bowery St,"{'latitude': 40.7156608, 'longitude': -73.9967012}",7049,4.0,10013,chinese
xq0cX_DgxiJMXwhmEl9kUA,Café China,59 W 37th St,"{'latitude': 40.75157, 'longitude': -73.98584}",1856,4.0,10018,chinese
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,23 St Marks Pl,"{'latitude': 40.72911, 'longitude': -73.98858}",588,4.5,10003,chinese
4FD0TAxe70nb3ngk3sXF9Q,Uluh,152 2nd Ave,"{'latitude': 40.7293403, 'longitude': -73.9866071}",791,4.5,10003,chinese
FcXsiSJbk2ZnHyFJMkMK3g,Mala Kitchen,7 E 47th St,"{'latitude': 40.756545, 'longitude': -73.977673}",5,4.0,10017,chinese
0dDCDQz7DrKkSvu9h2hcQw,Chow House,181 Bleecker St,"{'latitude': 40.72915, 'longitude': -74.00072}",585,4.5,10012,chinese
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,409 W 15th St,"{'latitude': 40.74207, 'longitude': -74.00565}",1339,4.5,10011,chinese
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,90 3rd Ave,"{'latitude': 40.732072, 'longitude': -73.988074}",1347,4.0,10003,chinese
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,79 Chrystie St,"{'latitude': 40.71735, 'longitude': -73.99457}",1970,4.5,10002,chinese
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,1378 3rd Ave,"{'latitude': 40.773951, 'longitude': -73.957927}",506,4.0,10075,chinese
oJ6fy4fBv_3WskxH4NfNBg,Chef Huang Jian Bing & Peking Duck,635 2nd Ave,"{'latitude': 40.74531205210646, 'longitude': -73.9757772}",42,4.5,10016,chinese
p4xNh2NAy85Br77XaomFOw,OOHU,128 W 36th St,"{'latitude': 40.751493955047785, 'longitude': -73.9883517}",4,5.0,10018,chinese
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,314 E 70th St,"{'latitude': 40.76701, 'longitude': -73.95846}",266,4.5,10021,chinese
8plXW6ZQI1awPu1scms3jQ,Silky Kitchen,138 W 46th St,"{'latitude': 40.757889, 'longitude': -73.984009}",65,4.5,10036,chinese
xm_-5QZFzJidiUO--PgOYg,Bites of Xi'an,60 W 56th St,"{'latitude': 40.76335868622376, 'longitude': -73.97709537292124}",66,4.0,10019,chinese
sBCJYLPNJuagg-aJ3Y_ozQ,Cheli,19 St Marks Pl,"{'latitude': 40.72925, 'longitude': -73.9886}",248,4.0,10003,chinese
-lgNzAEyFr8LCTuBTWnAMg,Dim Sum Palace,28 W 56th St,"{'latitude': 40.762765496672955, 'longitude': -73.97609185077448}",427,4.0,10019,chinese
HOfNVzn45dwctTOCLVPj2g,So Do Fun,155 3rd Ave,"{'latitude': 40.73415, 'longitude': -73.98633}",40,4.5,10003,chinese
sRWRA4dcN_NR1JGpuRVouA,Nan Xiang Xiao Long Bao - Manhattan,24 W 33rd St,"{'latitude': 40.74822527534694, 'longitude': -73.9857786}",262,4.5,10001,chinese
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,320 Lexington Ave,"{'latitude': 40.74922, 'longitude': -73.97785}",302,4.5,10016,chinese
YDZX2bJ1IyV0lunBYqbb4w,New Chinatown  Asian Cuisine/ Bar,1650 3rd Ave,"{'latitude': 40.782945, 'longitude': -73.95132}",2,4.5,10128,chinese
BPErPpKSNluwcjbKRgze3w,Xi'an Famous Foods,328 E 78th St,"{'latitude': 40.77197, 'longitude': -73.95452}",646,4.0,10075,chinese
TzhAlljC_843JO7UDDUIaQ,The Tang - Upper West Side,920 Amsterdam Ave,"{'latitude': 40.80006, 'longitude': -73.96639}",284,4.5,10025,chinese
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,550 3rd Ave,"{'latitude': 40.74744, 'longitude': -73.97728}",492,4.0,10016,chinese
QaolMEijS7L6eodSneOdng,Tri Dim Shanghai West,467 Columbus Ave,"{'latitude': 40.78412, 'longitude': -73.97368}",205,4.0,10024,chinese
E_Rxnmim6J2ECFtU0QGlsQ,Uncle Lou,73 Mulberry St,"{'latitude': 40.71623, 'longitude': -73.99925}",277,4.0,10013,chinese
gNGxh97n0NZgYG1Q_no9Kg,Potluck Club,133 Chrystie St,"{'latitude': 40.71952, 'longitude': -73.99333}",127,4.5,10002,chinese
83zDAk03lFXkgImgkLhT9w,Chi Restaurant & Bar,492 9th Ave,"{'latitude': 40.75547, 'longitude': -73.99439}",39,4.0,10018,chinese
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,"{'latitude': 40.719116974367, 'longitude': -73.9968322948353}",2321,4.0,10013,chinese
3oB2_2vpeIyxJt1GvlcZBA,Baodega,7 W 20th St,"{'latitude': 40.740201, 'longitude': -73.991727}",281,4.0,10011,chinese
pCfGgX0WxGASGM4-Yhr2Pw,Hao Noodle Chelsea,343 W 14th St,"{'latitude': 40.7406999, 'longitude': -74.00436}",579,4.5,10014,chinese
croh2zWlbPyCQTNS11klcg,China River 川聚院,258 W 44th St,"{'latitude': 40.75821, 'longitude': -73.98833}",263,4.0,10036,chinese
SYFLyQAFRFoDURRWafeLKA,Lin & Daughters,181 West 4th St,"{'latitude': 40.73253, 'longitude': -74.00167}",13,5.0,10014,chinese
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,1420 3rd Ave,"{'latitude': 40.77544, 'longitude': -73.95686}",488,4.0,10028,chinese
VW2Epq3C8jqysu6Edpu-RA,Atlas Kitchen,258 W 109th St,"{'latitude': 40.80332, 'longitude': -73.9668}",182,4.0,10025,chinese
gcEMZjjqy5Ucnv_5Pv-q1g,Tasty Hand Pulled Noodles II,648 9th Ave,"{'latitude': 40.760537, 'longitude': -73.990782}",385,4.0,10036,chinese
iiP46Z-A_ClynkS_qFQKEQ,Munchiez by Mei Lai Wah,126 MacDougal St,"{'latitude': 40.730027, 'longitude': -74.000204}",86,5.0,10012,chinese
fbxOVzLvmIB13_5adb1hfQ,Our New Place,242 E 79th St,"{'latitude': 40.77347, 'longitude': -73.95576}",23,4.0,10075,chinese
